title,course,strand,date,q1,q2,q3,q4,starter,preparer,demo,description,content,scale
Strengths/Weaknesses in Platforms,GameDev1,03-02,11,"Identify platform considerations like display, hardware performance, input, portability and affordability",,,,,,,,,3
Impact of Cloud Computing on Game Design,GameDev1,03-03,12,"Understand the impact cloud resources for distribution, updates, dependency on internet, and hardware dependency",,,,,,,,,3
"Distribution Channels (Disk, Download, Stream)",GameDev1,03-04,13,"Identify distribution channels like physical media, download, Steam, Epic, Apple, Microsoft etc.",,,,,,,,,3
"Understand Platforms, Mobile, and Distribution",GameDev1,03-PS,14,"Describe consoles, platforms, mobile, and distribution methods",,,,,,,,,3
Term 1 Concept Review and Test,GameDev1,00-00,15,Test on Strands 1-3,,,,,,,,,3
"Game Genres (Action, Role, Sim, Strategy, Hybrid)",GameDev1,04-01,16,"Understand game genres like action, adventure, role play, simulation, strategy and many forms of hybrids",,,,,,,,,3
"Game Types (Single, 2 Player, Coop, Comp, Team)",GameDev1,04-02,17,"Identify game types like single player, two player, multi competitive, multi cooperative, and team based",,,,,,,,,3
Understand Genres and Game Types,GameDev1,04-PS,18,Identify and understand genres and game types,,,,,,,,,3
"Concept Development (Pitch SB Plan, Cost, Time)",GameDev1,05-01,19,"Understanding of development concepts like plan, cost and time with a pitch document, storyboard and sketches of characters and envirnment",,,,,,,,,3
Pre-Production (Game Design Document),GameDev1,05-02,20,Brainstorm production plan design document list,,,,,,,,,3
Repo Planning Docs,GameDev1,05-02,21,Preparation of game plan document (see list in standards),,,,,,,,,3
Production (Create Assets and Logic etc.),GameDev1,05-03,22,Production gantt chart,,,,,,,,,3
Repo Assets,GameDev1,05-03,23,Pruduction of assets and game logic etc.,,,,,,,,,3
Post-Production (Testing and Relese),GameDev1,05-04,24,"Post production concepts understood: alpha and beta testing, game release and maintenance",,,,,,,,,3
Repo Project Finalization,GameDev1,05-04,25,Alpha testing.,,,,,,,,,3
Project Peer Evaluation,GameDev1,05-04,26,Beta testing and game release.,,,,,,,,,3
"Production Cycle, Planning and Testing",GameDev1,05-PS,27,"Implementation of project in pre, production and post processes",,,,,,,,,3
Career Awareness,GameDev1,06-01,28,Career awareness with interest and ability in conjunction with actual job titles and current/future opportunities.,,,,,,,,,3
Educational Pursuits,GameDev1,06-02,29,Educaiton pursuits that match interests and abilities.,,,,,,,,,3
"Game Dev Jobs, Trends, and Ed Requirements",GameDev1,06-PS,30,Understand careers related to gaming industry and paths to educate and work in the field,,,,,,,,,3
State Test Review,GameDev1,00-00,31,Test prep on strands 4-6,,,,,,,,,3
State Certification Test,GameDev1,00-00,32,State certification exam on all strands. ,,,,,,,,,3
