title,course,strand,date,q1,q2,q3,q4,starter,preparer,demo,description,content,scale
Beta Testing,GameDev2,03-01,11,Students will beta test class games with feedback from testers and making adjustments.,Students will conduct beta tests for their class games by inviting peers to play and provide feedback. They will analyze the feedback and make necessary adjustments to their games. A report documenting the feedback received and changes made will be submitted.,"Students will receive guided practice on how to set up a beta test, collect feedback, and analyze it to make meaningful improvements. The teacher will provide a framework for creating feedback forms and interpreting the data.",Students will submit their updated game along with a report detailing the feedback received and the adjustments made based on that feedback. Submissions will be made via Canvas.,Begin with a discussion where students share their understanding and experiences with beta testing. Questions to guide the discussion: What is the purpose of beta testing in game development? Have you participated in a beta test before? What was your experience like? What kind of feedback do you think is most helpful during beta testing?,Student1,The teacher will demonstrate: Setting up a beta test environment. Creating effective feedback forms. Collecting and organizing feedback. Analyzing feedback to identify common issues and areas for improvement. Implementing changes based on feedback.,"Details: Beta Testing Setup: Prepare the game for testing (ensure it is in a playable state). Define the scope of the beta test (which aspects of the game need feedback).Feedback Collection: Create forms or surveys to collect structured feedback from testers. Use questions that cover various aspects of the game, such as gameplay mechanics, user interface, graphics, and overall enjoyment. Feedback Analysis: Organize feedback into categories (e.g., bugs, gameplay issues, suggestions). Identify common themes or repeated issues. Prioritize issues based on their impact on the game experience. Implementing Adjustments: Make changes to the game based on the prioritized feedback. Test the changes internally before releasing the updated version to testers.",Links and Resources:Websites: Unity Learn - Tutorials on beta testing and feedback implementation. Gamasutra - Articles on best practices for beta testing. BetaBound - Resources and tools for beta testing. Web Activities: Unity Beta Testing Guide - Guide on conducting beta tests in Unity. Feedback Analysis Techniques - Techniques for analyzing beta test feedback.,3
Marketing,GameDev2,03-02,12,"Students will use marketing strategies to advertise their game by: identifying target audience, researching marketing platforms, choosing a license model, understanding the role of community management in marketing, advertising in two mediums, and understanding monetized versus free game model.","Students will develop a marketing plan for their game, including identifying their target audience, selecting marketing platforms, creating advertisements, and deciding on a license model. They will also discuss the role of community management and compare monetized versus free game models. The final submission will be a comprehensive marketing plan.","Students will receive guided practice on creating marketing plans, identifying target audiences, selecting marketing platforms, and creating advertisements. The teacher will provide examples and templates to help students understand each component.",Students will submit their comprehensive marketing plan via Canvas. The plan should include: Identification of target audience. Selected marketing platforms. Chosen license model. Examples of advertisements in two different mediums. Explanation of the role of community management. Comparison of monetized versus free game models.,Begin with a discussion where students share their understanding of marketing and its importance in game development. Questions to guide the discussion: What is the purpose of marketing in game development? How do you determine who your target audience is? What are some effective ways to advertise a game?,Student1,"The teacher will demonstrate: How to identify a target audience using market research. How to research and select marketing platforms (social media, gaming forums, influencers). Different license models (free-to-play, paid, subscription-based) and their implications. Creating advertisements for different mediums (video ad, social media post). The importance of community management in maintaining and growing a player base. Comparing monetized versus free game models and their impact on marketing strategy.","Details: Target Audience Identification: Define demographics (age, gender, location). Identify psychographics (interests, behaviors). Marketing Platforms Research: Explore various platforms (social media, forums, gaming websites). Select platforms that align with the target audience. License Model Selection: Explain different license models (free-to-play, paid, subscription-based). Choose a model that suits the game and target audience. Community Management: Discuss the role of community managers. Explore strategies for engaging and maintaining a community (events, updates, feedback). Advertisement Creation: Create advertisements for two different mediums (e.g., video ad for YouTube, image ad for Instagram). Use tools like Canva, Adobe Spark, or video editing software. Monetized vs. Free Game Models: Compare the benefits and drawbacks of monetized and free game models. Discuss how each model affects marketing strategies.",Links and Resources: Websites: Gamasutra - Articles on game marketing strategies. GameDev.net - Community discussions on marketing and advertising. Web Activities: Unity Marketing Guide - Comprehensive guide on game marketing. Canva - Tool for creating marketing materials.,3
Game Release,GameDev2,03-03,13,"Students will publish or release their game by: researching intellectual properties, explaining piracy and copyright, and publishing to a platform.","Students will complete the process of preparing their game for release by researching intellectual property laws, discussing the impact of piracy and copyright, and publishing their game to a platform. The final submission will be a report that includes their research findings and a link to their published game.","Students will receive guided practice on how to conduct research on intellectual property, copyright, and piracy in the context of game development. The teacher will provide resources and examples to help students understand these concepts. Additionally, students will get a step-by-step guide on how to publish a game to a chosen platform.",Students will submit a comprehensive report via Canvas. The report should include: Research findings on intellectual property laws. Explanation of piracy and copyright infringement. Steps taken to publish their game. A link to their published game.,"Begin with a discussion where students share their initial thoughts on intellectual property, piracy, and copyright. Questions to guide the discussion: What do you know about intellectual property and how it relates to game development? Why is it important to protect your game from piracy? What are some common platforms for publishing games?",Student1,"The teacher will demonstrate: How to conduct research on intellectual property laws, focusing on resources such as the U.S. Copyright Office and Creative Commons. The impact of piracy on the game industry and how copyright laws help protect developers. The process of publishing a game on various platforms, such as Steam, itch.io, or the Google Play Store, including creating developer accounts, preparing game files, and adhering to platform guidelines.","Details: Intellectual Property Laws: Define key terms: copyright, trademark, patent. Explore resources like the U.S. Copyright Office and Creative Commons. Understand how to protect your game's assets. Piracy and Copyright: Explain what piracy is and how it affects game developers. Discuss ways to prevent and address piracy. Highlight the importance of adhering to copyright laws. Publishing a Game: Choose a platform for publishing (e.g., Steam, itch.io, Google Play Store). Create a developer account on the chosen platform. Prepare game files for upload (e.g., executable files, graphics, descriptions). Follow the platform's guidelines for publishing.",Links and Resources: Websites: U.S. Copyright Office - Information on copyright laws and registration. Creative Commons - Licensing tools and information. Web Activities: Steamworks - Guide to publishing games on Steam. itch.io - Information on publishing games on itch.io. Google Play Console - Guide to publishing apps on Google Play.,3
Game Maintenance,GameDev2,03-04,14,"Students will provide for maintenance of a game by: developing strategies for post release content, bug fixes and updates.","Students will create a maintenance plan for their game, including strategies for handling post-release content, bug fixes, and updates. The final submission will be a detailed document outlining their maintenance plan, including schedules, types of updates, and procedures for handling bugs and player feedback.",Students will receive guided practice on how to develop and implement a maintenance plan for a game. The teacher will provide examples and resources to help students understand the key components of a maintenance plan.,Students will submit their maintenance plan via Canvas. The plan should include: Strategies for post-release content updates. Procedures for identifying and fixing bugs. Schedule for regular updates and maintenance. Methods for gathering and incorporating player feedback.,Begin with a discussion where students share their initial thoughts on game maintenance and post-release support. Questions to guide the discussion: Why is post-release maintenance important for a game? What are some common post-release issues that developers need to address? How can developers keep players engaged with their game after its initial release?,Student1,"The teacher will demonstrate: How to create a post-release content update plan, including types of content (e.g., new levels, characters, events). How to identify and prioritize bugs using tools like bug tracking software. The process of scheduling regular updates and maintenance. Methods for gathering player feedback through surveys, forums, and social media.","Details: Post-Release Content Updates: Plan for new content such as levels, characters, and in-game events. Schedule for regular content updates to keep players engaged. Bug Fixes: Methods for identifying bugs through player feedback and testing. Prioritizing bugs based on severity and impact on gameplay. Using bug tracking tools to manage and resolve issues. Regular Updates and Maintenance: Developing a schedule for regular updates and maintenance. Ensuring the game remains compatible with new hardware and software. Addressing performance issues and improving game stability. Player Feedback: Gathering feedback through surveys, forums, and social media. Analyzing feedback to identify common issues and areas for improvement. Incorporating player suggestions into future updates.",Links and Resources: Websites: Gamasutra - Articles and resources on game development and maintenance. Game Developer - Insights and tips on post-release game support. Web Activities: Bugzilla - Bug tracking software to manage and resolve issues. Trello - Project management tool for planning and scheduling updates.,3
Post Production Quiz,GameDev2,03-PS,15,"Students will be tested on marketing strategies, engage in game testing and releasing a game.",,,,,,,,,3
Term Test,GameDev2,00-00,16,Students will be tested on concepts covered in the term.,,,,,,,,,3
Implement Project Management,GameDev2,01-01,17,"Students will implement project management skills by understanding the difference between waterfall and iterative development, prototyping, dividing project into managable components (with team) and utilizing project management skills.","Students will be divided into small teams to work on a mini-game project. Each team will choose a development methodology (waterfall or iterative), create a project plan, prototype their game idea, and divide the project into manageable tasks. They will use project management tools like Trello or Asana to track their progress and ensure effective collaboration.",Students will participate in guided practice sessions where they will: Discuss the pros and cons of waterfall vs. iterative development. Create a simple prototype of their game idea using basic game development tools. Break down their project into tasks and assign responsibilities within their team. Regularly update their project management tool with progress and any changes.,"Each team will submit their project plan, a link to their project management board, and a brief report (200-300 words) on their experience using the chosen development methodology. Additionally, they will submit the prototype of their mini-game.",Begin with a student-led discussion on project management methodologies. Questions to prompt discussion: What do you know about the waterfall and iterative development methodologies? Can you think of situations where one methodology might be more suitable than the other? What are the benefits of prototyping in game development?,Student1,The teacher will demonstrate: The key differences between waterfall and iterative development. The steps involved in creating a game prototype. How to divide a project into manageable tasks and assign them within a team. How to use project management tools like Trello or Asana for tracking progress and collaboration.,"Introduction to Project Management: Overview of project management in game development. Importance of effective project management for successful game development. Waterfall vs. Iterative Development: Detailed comparison of waterfall and iterative development methodologies. Scenarios where each methodology is best applied. Prototyping in Game Development: The role of prototyping in game development. Tools and techniques for creating game prototypes. Dividing Projects into Manageable Tasks: Methods for breaking down a project into smaller, manageable tasks. Assigning responsibilities within a team for efficient project execution. Utilizing Project Management Tools: Introduction to project management tools (Trello, Asana). Demonstration of setting up and using these tools for tracking project progress.",Links and Resources: Websites: Trello for project management and collaboration. Asana for task management and team collaboration. Scrum Alliance for resources on iterative development methodologies. Web Activities: Trello Tutorial - a video tutorial on using Trello for project management. Asana Guide - a comprehensive guide on using Asana for team collaboration.,3
Game Concept Development,GameDev2,01-02,18,"Students will be able to develop a game concept with a ""pitch document"" and consider plan, cost, and project gantt chart.","Students will work in small teams to create a game concept. Each team will develop a pitch document that includes a detailed game concept, an estimated budget, and a project gantt chart. This activity will help students understand the importance of planning and budgeting in game development.","Students will receive guidance on how to create a pitch document, estimate project costs, and develop a gantt chart. They will be provided with templates and examples to help them structure their documents and charts effectively.","Each team will submit their pitch document as a PDF file to Canvas. The document should include the game concept, estimated budget, and project gantt chart. Additionally, teams will submit a short presentation (5-10 slides) summarizing their pitch.",Begin with a student-led discussion on game concept development. Questions to prompt discussion: What makes a game concept compelling?How do you think planning and budgeting affect game development? What are the key components of a successful pitch document?,Student1,"The teacher will demonstrate: How to develop a game concept, including storyline, gameplay mechanics, and target audience. How to structure a pitch document with key sections such as concept overview, target audience, unique selling points, and gameplay details. How to estimate project costs, including development, marketing, and distribution expenses. How to create a project gantt chart to outline the timeline and milestones for the game development process.","Introduction to Game Concept Development: Importance of a strong game concept in the development process. Key elements of a game concept, including storyline, gameplay mechanics, and target audience. Creating a Pitch Document: Detailed guide on structuring a pitch document. Key sections: concept overview, target audience, unique selling points, gameplay details, and visual mock-ups. Estimating Project Costs: Overview of common expenses in game development. Tips for accurate cost estimation and budgeting. Developing a Project Gantt Chart: Introduction to gantt charts and their importance in project management. Step-by-step guide to creating a gantt chart, including key milestones and timeline.",Links and Resources: Websites: Gamasutra for articles and resources on game development. Project Management Institute for resources on project management and gantt charts. Web Activities: Gantt Chart Tutorial - a video tutorial on creating gantt charts for project management. Pitch Document Examples - examples of successful pitch documents from various industries.,3
Pre-Production (Design),GameDev2,01-03,19,"Students will create documents as a part of the pre-production phase including: script, storyboard, design concept, engine, play mechanics, game goals, level planning, world development, character plan, and blueprint.","Students will work in small teams to develop a suite of pre-production documents for a hypothetical game. Each team will create a script, storyboard, design concept, engine selection, play mechanics, game goals, level planning, world development, character plan, and blueprint. This will help students understand the detailed planning required before actual game production begins.","Students will receive templates and examples for each type of document. They will be guided through the process of creating each document, with opportunities to ask questions and receive feedback.","Each team will submit their pre-production documents as a single PDF file to Canvas. The submission should include all the required documents: script, storyboard, design concept, engine selection, play mechanics, game goals, level planning, world development, character plan, and blueprint.",Begin with a student-led discussion on the importance of pre-production in game development. Questions to prompt discussion: Why is pre-production crucial for a successful game development project? What challenges do you think might arise during the pre-production phase? How do you think detailed planning impacts the later stages of game development?,Student1,"The teacher will demonstrate: How to create a game script, including dialogue, action sequences, and event triggers. How to storyboard key scenes and levels of the game. How to develop a cohesive design concept, choose a suitable game engine, and define play mechanics. How to set clear and achievable game goals. How to plan levels and develop the game world, including maps and environmental design. How to create detailed character plans and blueprints for game development.","Introduction to Pre-Production: Overview of the pre-production phase and its importance in game development. Explanation of each document and its role in the development process. Creating a Script: How to write a game script, including dialogue, action sequences, and events. Storyboarding: How to create a storyboard to visualize key scenes and levels of the game. Design Concept and Engine Selection: Developing a design concept and choosing the right game engine for the project. Play Mechanics and Game Goals: Defining the core play mechanics and setting clear game goals. Level Planning and World Development: Planning levels, creating maps, and designing the game world. Character Plan and Blueprint: Creating detailed character plans and blueprints for game development.",Links and Resources: Websites: Unity Learn for tutorials on game development and engine selection. Gamasutra for articles on game design and pre-production. Web Activities: Storyboard That - an online tool for creating storyboards. Trello - for project management and planning.,3
Production (Create),GameDev2,01-04,20,Students will create the assets and incorporate them into a game with a prototype and alpha testing.,"Students will work in teams to create the necessary game assets for their project. These assets include characters, environments, sound effects, and more. They will then integrate these assets into their game engine to build a functional prototype. Finally, they will conduct alpha testing to identify bugs and areas for improvement.",Students will receive detailed instructions and demonstrations on how to create different types of game assets. They will be guided through the process of importing these assets into their game engine and building a prototype. There will be opportunities for hands-on practice and feedback throughout the activity.,Students will receive detailed instructions and demonstrations on how to create different types of game assets. They will be guided through the process of importing these assets into their game engine and building a prototype. There will be opportunities for hands-on practice and feedback throughout the activity.,"Begin with a brainstorming session where students discuss the types of assets they need for their game. Questions to guide the discussion: What assets are crucial for your game (characters, environments, sound)? How will you prioritize the creation of these assets? What challenges do you anticipate in creating and integrating these assets?",Student1,"The teacher will demonstrate: How to create different types of game assets using tools like Photoshop, Blender, and Audacity. How to import these assets into a game engine like Unity or Unreal Engine. How to assemble these assets into a working game prototype. How to conduct alpha testing and document findings.","Details: Creating Game Assets: Introduction to asset creation tools (e.g., Photoshop for 2D assets, Blender for 3D models, Audacity for sound). Step-by-step guide to creating characters, environments, and sound effects. Importing Assets into Game Engine: Instructions on how to import various assets into Unity or Unreal Engine. Best practices for organizing and managing assets within the game engine. Building the Prototype: Assembling assets to create a playable game prototype. Implementing basic game mechanics and interactions. Alpha Testing: Conducting alpha tests to identify bugs and issues. Documenting the results of alpha testing and planning for improvements.","Links and Resources: Websites: Unity Learn - Tutorials for creating and integrating assets in Unity. Blender - Resources and tutorials for creating 3D models. Photoshop Tutorials - Official Adobe Photoshop tutorials. Web Activities: Audacity - Free, open-source tool for audio editing. Krita - Free, open-source painting program for creating 2D assets.",3
Project Based Game Development Quiz,GameDev2,01-PS,21,Students will be tested on the game development life cycle.,,,,,,,,,3
